,sentence
1586,"Favourable  financial  leverage  occurs  when  the  company  earns  more  on  the  assets purchased with the funds, then the fixed cost of their use."
1587,"Hence, it is also called as positive financial  leverage."
1588,Unfavourable financial leverage occurs when the company does not earn as much as  the funds cost.
1589,"Hence, it is also called as negative financial leverage."
1590,"Financial leverage can be calculated with the help of the following formula:  FL =  OP PBT  Where,     FL = Financial leverage   OP = Operating profit (EBIT) PBT = Profit before tax."
1591,Degree of Financial Leverage Degree of financial leverage may be defined as the percentage change in taxable profit as a result of percentage change in earning before interest and tax  (EBIT).
1592,"This can be calculated by the following formula  DFL=        Percentage change in taxable Income  Precentage change in EBIT  Leverage  87  Alternative Definition of Financial Leverage According to Gitmar,    financial leverage is the ability of a firm to use fixed financial changes to magnify the effects of change in EBIT and EPS   ."
1593,"FL =  EBIT EPS  Where,  FL = Financial Leverage EBIT = Earning Before Interest and Tax EPS = Earning Per share."
1594,Exercise  2 A Company  has  the following  capital  structure.
1595,Equity share capital 10% Prof. share capital 8% Debentures      Rs.
1596,"1,00,000 1,00,000 1,25,000  The    present  EBIT  is  Rs."
1597,"50,000."
1598,Calculate  the  financial  leverage  assuring    that  the  company  is  in 50% tax bracket.
1599,Solution  .
1600,"Statement of Profit Earning Before Interest and Tax (EBIT) (or) Operating Profit Interest  on  Debenture 1,25,000    8    100 Earning before Tax  (EBT)  Income Tax Profit  Financial  leverage =  Operating Profit(OP) Profit BeforeTax(PBT)  =  50,000 40,000   =1.25  Rs."
1601,"50,000  10,000 40,000 20,000 20,000  Uses of Financial Leverage Financial leverage helps to examine the relationship between EBIT and EPS."
1602,88  Financial Management  Financial leverage measures the percentage of change in taxable income to the percentage  change in EBIT.
1603,Financial  leverage  locates  the  correct  profitable  financial  decision  regarding  capital  structure  of  the  company.
1604,Financial leverage is one of the important devices which is used to measure the fixed  cost proportion with the total capital of the company.
1605,"If  the  firm  acquires  fixed  cost  funds  at  a  higher  cost,  then  the  earnings  from  those  assets, the earning per share and return on equity capital will decrease."
1606,The  impact  of  financial  leverage  can  be  understood  with  the  help  of  the  following  exercise.
1607,Exercise  3 XYZ Ltd. decides to use two financial plans and they need Rs.
1608,"50,000 for total investment."
1609,Particulars  Debenture (interest at 10%) Equity share (Rs.
1610,"10 each) Total  investment  needed Number of equity shares  Plan A 40,000 10,000 50,000   4,000  Plan B 10,000 40,000 50,000   1,000  The earnings before interest and tax are assumed at Rs."
1611,"5,000, and 12,500."
1612,The tax  rate is 50%.
1613,Calculate the EPS.
1614,Solution When EBIT is Rs.
1615,"5,000  Particulars  Earnings before interest and tax (EBIT) Less : Interest on debt (10%) Earnings before tax (EBT) Less : Tax at 50% Earnings  available  to  equity  shareholders."
1616,No.
1617,of equity shares Earnings per share  (EPS) Earnings/No.
1618,of  equity  shares  When EBIT is Rs.
1619,"12,500  Particulars  Earnings before interest and tax (EBIT)."
1620,"Less: Interest on debt (10%)  Plan A 5,000 4,000 1,000 500 Rs.500 1,000 Rs."
1621,"0.50  Plan B 5,000 1,000 4,000 2,000 Rs.2,000 4,000 Rs."
1622,"0.50  Plan A 12,500 4,000  Plan B 12,500 1,000  (Contd....)  Leverage  89  Earning before tax (EBT) Less : Tax at 50% Earnings  available  to  equity  shareholders No."
1623,"of equity shares Earning  per  share  8,500 4,250 4,250 1,000 4.25  11,500 5,750 5,750 4,000 1.44  DISTINGUISH BETWEEN OPERATING LEVERAGE AND FINANCIAL LEVERAGE  Operating Leverage/Financial Leverage  Operating Leverage  Financial Leverage  1."
1624,Operating  leverage  is  associated  with investment activities of the company.
1625,2.
1626,Operating leverage consists of fixed operating expenses of the company.
1627,It represents the ability to use fixed operating  cost.
1628,3.
1629,1.
1630,Financial  leverage  is  associated  with  financing  activities of the company.
1631,2.
1632,Financial leverage consists of operating profit  3.  of the company.
1633,It represents the relationship between EBIT and EPS.
1634,4.
1635,Operating leverage can be calculated by  4.
1636,Financial leverage can be calculated by  OL =    C OP .
1637,FL =   OP PBT .
1638,5.
1639,A percentage change in the profits resulting  5.
1640,A percentage change in taxable profit is the  result of  percentage change in EBIT.
1641,from a percentage change in the sales is called as degree of operating leverage.
1642,Trading on equity is not possible while the company  is  operating  leverage.
1643,7.
1644,Operating leverage depends upon fixed  cost and variable cost.
1645,Tax rate and interest rate will not affect the operating  leverage.
1646,6.
1647,8.
1648,6.
1649,Trading on equity is possible only when the  company  uses  financial  leverage.
1650,7.
1651,Financial  leverage  depends  upon  the  operating  profits.
1652,8.
1653,Financial leverage will change due to tax rate  and interest rate.
1654,EBIT - EPS Break even chart for three different financing alternatives  EPS  DR = 70%  X1 X2  DR = 30%  X3  DR = 0%  EBIT  C1  C2  C3  Fig.
1655,"7.2 EBIT - EPS Break Even Chart  90  Where,     DR= Debt Ratio  C1, C2, C3 = Indifference Point X1, X2, X3 = Financial BEP  Financial Management  Financial BEP It is the level of EBIT which covers all fixed financing costs of the company."
1656,It is the level of EBIT at which EPS is zero.
1657,Indifference Point It is the point at which different sets of debt ratios (percentage of debt to total capital employed in the company) gives the same EPS.
1658,COMBINED  LEVERAGE When  the  company  uses  both  financial  and  operating  leverage  to  magnification  of  any change in sales into a larger relative changes in earning per share.
1659,Combined leverage is also called as composite leverage or total leverage.
1660,Combined  leverage  express  the  relationship  between  the  revenue  in  the  account  of  sales and the taxable income.
1661,"Combined leverage can be calculated with the help of the following formulas:  CL = OL    FL  CL =  C OP        OP PBT   =   C  PBT  Where,  CL = Combined  Leverage OL = Operating  Leverage FL = Financial  Leverage C = Contribution  OP = Operating Profit (EBIT) PBT = Profit Before Tax  Degree of Combined Leverage The percentage change in a firm   s earning per share (EPS) results from one percent change in sales."
1662,This is also equal to the firm   s degree of operating leverage (DOL) times its degree of financial leverage (DFL) at a particular level of sales.
1663,Degree of contributed coverage =   Percentage change in EPS Percentage change in sales  Leverage  91  Exercise  4 Kumar  company  has  sales  of  Rs.
1664,"25,00,000."
1665,Variable  cost  of  Rs.
1666,"12,50,000  and  fixed cost of Rs."
1667,"50,000 and debt of Rs."
1668,"12,50,000 at 8% rate of interest."
1669,Calculate combined leverage.
1670,"Solution   Statement   of  Profit  Sales Less:    Variable cost         Contribution  Less:    Fixed cost           Operating Profit  25,00,000 15,00,000 10,00,000 5,00,000 5,00,000  Combined  leverage  =Operating  leverage  Financial  leverage  Calculation  of financial  leverage  Contribution  Operating Profit  =  10,00,000 5,00,000  =  2  Calculation  of financial  leverage  Earning  before Interest and Tax (EBIT) Less:  Interest on Debenture ( 8% of 12,50,000) Earnings before Tax  5,00,000 1,00,000 4,00,000  Operating  leverage =   Operating Profit  Earning Before  Tax  =  5,00,000 4,00,000   =1.25  Combined  leverage  =  2    1.25  = 2.5 Exercise  5 Calculate the operating, financial and combined leverage under situations 1 and 2 and the financial plans for X and Y respectively from the following information relating to the operating and capital structure of a company, and also find out which gives the highest and the least value ?"
1671,Installed capacity is 5000 units.
1672,Annual Production and sales at 60% of installed  capacity.
1673,Selling price per unit Rs.
1674,25 Variable cost per unit Rs.
1675,15 Fixed cost: Situation 1 Situation 2  : Rs.
1676,"10,000 : Rs."
1677,"12,000  Financial Management  92  Capital  structure:  Equity Debt (cost 10%)  Financial Plan  X (Rs.)"
1678,"25,000 50,000 75,000  Y (Rs.)"
1679,"50,000 25,000 75,000  Solution Annual production and sales 60% of 5,000 = 3000 Unit Contribution per Unit Selling  Price Variable Price     Rs."
1680,25 Per Unit 15 Per Unit 10 Per Unit  Total contribution is 3000 Units  Rs.
1681,10=Rs.
1682,"30,000 Computation of leverage."
1683,"Financial plan  Contribution Fixed cost operating profit (or) EBIT  Interest  on  Debts  10% of 50,000 10% of 25,000 Earnings before Tax (i) Operating Leverage  Contribution  (ii) Financial  Leverage Operating Profit (op)  Profit Before Tax  (PBI) (iii) Combined  leverage  OL    FL =   PLAN-X  PLAN-Y  Situation 1  Situation 2  Situation 1  Situation 2  30000  10000 20000  5000  15000   30000 20000 = 1.5  20000 15000  30000  12000 18000  5000  13000  30000  18000  1.67  18000 13000  30000  10000 20000  2500  17500  30000 20000  1.5  20000 17500  30000  12000 18000  2500  15500  30000 18000  1.67  18000 15500    1.5    1.33  1.67    1.38  1.5    1.14  1.995  2.30  1.71  1.67    1.16  1.94  Highest and least value of combined leverage."
1684,Highest Value = 2.30 under situation 2 plan X.
1685,Least Value = 1.71 under situation 1 plan Y.
1686,"Leverage  93  Exercise  6 Calculate operating, financial and combined leverages under situations when fixed costs are: (i) Rs."
1687,"5,000  and (ii) Rs."
1688,"10,000 and financial plans 1 and 2 respectively from the following information  pertaining  to  the  operating  and  capital  structure  of  a  textile  company  :  Total Assets Total Assets turnover Variable cost as percentage of sales Capital structure  Rs."
1689,"30,000 2 60 Financial Plan 1  2  Equity 10%  debentures  Solution            Plan   Situation Sales Less : Variable cost Contribution Less : Fixed cost Operating profit (EBIT) Less : Interest Profit before tax (PBT) Operating  leverage Contribution EBIT Financial  leverage EBIT PBT Combined  leverage  Rs."
